Word;Count;Procent
в;3;3.57%
БПЛА;2;2.38%
впервые;2;2.38%
на;2;2.38%
что;2;2.38%
министр;2;2.38%
Польши;2;2.38%
с;1;1.19%
обороны;1;1.19%
российских;1;1.19%
российские;1;1.19%
проводит;1;1.19%
приведены;1;1.19%
премьер;1;1.19%
представлено;1;1.19%
повышенной;1;1.19%
по;1;1.19%
перелетели;1;1.19%
отношение;1;1.19%
ответственными;1;1.19%
оперативное;1;1.19%
около;1;1.19%
❗️❗️Польша;1;1.19%
том;1;1.19%
10;1;1.19%
—;1;1.19%
этом;1;1.19%
эти;1;1.19%
экстренное;1;1.19%
ходе;1;1.19%
фоне;1;1.19%
утверждают;1;1.19%
сбивала;1;1.19%
территорию;1;1.19%
страны;1;1.19%
состояние;1;1.19%
сообщает;1;1.19%
системой;1;1.19%
сейчас;1;1.19%
сегодня;1;1.19%
сбиты;1;1.19%
Польшу;1;1.19%
военнослужащие;1;1.19%
были;1;1.19%
безопасность;1;1.19%
атаке;1;1.19%
Шахеды;1;1.19%
Украине;1;1.19%
Туск;1;1.19%
России;1;1.19%
вторглись;1;1.19%
Польские;1;1.19%
ПВО;1;1.19%
Однако;1;1.19%
На;1;1.19%
Камыш;1;1.19%
Как;1;1.19%
Власти;1;1.19%
Владислав;1;1.19%
заседание;1;1.19%
ночью;1;1.19%
никаких;1;1.19%
не;1;1.19%
момент;1;1.19%
министрами;1;1.19%
командование;1;1.19%
к;1;1.19%
имеют;1;1.19%
о;1;1.19%
за;1;1.19%
дронов;1;1.19%
доказательств;1;1.19%
десятки;1;1.19%
данный;1;1.19%
готовности;1;1.19%
где;1;1.19%
